"","age","minutes","lvalue","total_market_value","goals","assists","seleccion","pos_Defensa","pos_Delantero","pos_Medio Centro","pos_Portero","equipo_0","equipo_1","equipo_2","value"
"76",36,443,8e+05,241740000,0,0,0,0,0,1,0,1,0,0,616666.666666667
"77",36,388,3e+05,83230000,0,0,1,1,0,0,0,1,0,0,3e+05
"78",35,575,350000,54530000,1,0,1,0,0,1,0,1,0,0,250000
"79",37,367,1333333.33333333,871050000,0,0,1,1,0,0,0,1,0,0,1e+06
"80",25,2079,3333333.33333333,264300000,6,8,1,0,1,0,0,1,0,0,7666666.66666667
"81",26,1944,7666666.66666667,254700000,5,3,1,0,1,0,0,1,0,0,9e+06
"82",28,2544,9e+06,300750000,8,13,1,0,1,0,0,1,0,0,1e+07
"83",37,819,4e+05,24600000,0,0,0,0,0,0,1,1,0,0,350000
"84",37,1108,166666.666666667,8.3e+07,0,0,1,0,0,1,0,1,0,0,1e+05
"85",36,2546,750000,303500000,7,3,1,0,1,0,0,1,0,0,5e+05
"86",37,2136,5e+05,244450000,10,3,1,0,1,0,0,1,0,0,2e+06
"87",39,1446,2e+06,207700000,2,6,1,0,1,0,0,1,0,0,1550000
"88",35,1078,2333333.33333333,578480000,0,0,1,0,0,0,1,0,0,1,1e+06
"89",36,1152,1e+06,231700000,0,0,1,0,0,0,1,1,0,0,9e+05
"90",36,1152,1e+06,404330000,0,0,1,0,0,0,1,0,0,1,9e+05
"91",38,3330,9e+05,326330000,0,0,1,0,0,0,1,0,0,1,750000
"92",37,1098,750000,97250000,0,0,0,0,0,0,1,1,0,0,233333.333333333
"93",35,1545,3e+06,195700000,2,1,1,0,1,0,0,1,0,0,1500000
"94",32,2573,4166666.66666667,207630000,8,4,1,0,1,0,0,1,0,0,3500000
"95",33,281,3500000,217200000,2,0,1,0,1,0,0,1,0,0,2500000
"96",32,1048,4e+05,61400000,0,0,0,0,0,1,0,1,0,0,4e+05
"97",28,1890,666666.666666667,108550000,0,0,1,0,0,0,1,1,0,0,1750000
"98",29,292,1750000,156050000,0,0,1,0,0,0,1,1,0,0,2250000
"99",29,292,1750000,90500000,0,0,1,0,0,0,1,1,0,0,2250000
"100",35,1583,1150000,62780000,0,0,0,0,0,0,1,1,0,0,7e+05
"101",36,278,7e+05,96750000,0,0,0,0,0,0,1,1,0,0,525000
"102",33,3646,1e+08,871050000,28,11,1,0,1,0,0,1,0,0,106666666.666667
"103",34,4081,106666666.666667,661880000,37,7,1,0,1,0,0,1,0,0,82500000
"104",36,3751,82500000,633300000,36,4,1,0,1,0,0,1,0,0,6e+07
"105",34,630,375000,226050000,0,0,0,0,0,0,1,1,0,0,333333.333333333
"106",31,2083,3.5e+07,1.17e+09,2,2,1,0,0,1,0,0,1,0,28750000
"107",31,2083,3.5e+07,385830000,2,2,1,0,0,1,0,1,0,0,28750000
"108",32,1097,28750000,331030000,0,3,1,0,0,1,0,1,0,0,14250000
"109",34,1152,14250000,370350000,3,6,1,0,0,1,0,1,0,0,7e+06
"110",36,2400,1e+06,1.79e+08,0,3,1,0,0,1,0,1,0,0,750000
"111",28,738,3833333.33333333,254250000,1,0,1,0,1,0,0,1,0,0,5333333.33333333
"112",28,738,3833333.33333333,267550000,1,0,1,0,1,0,0,1,0,0,5333333.33333333
"113",29,1286,5333333.33333333,102900000,6,4,1,0,1,0,0,1,0,0,2666666.66666667
"114",31,90,2666666.66666667,142950000,0,0,1,0,1,0,0,1,0,0,2e+06
"115",32,1782,20666666.6666667,1.2e+09,1,1,1,1,0,0,0,0,1,0,1e+07
"116",37,2734,350000,16700000,1,1,1,1,0,0,0,1,0,0,250000
"117",38,2748,250000,14780000,1,0,1,1,0,0,0,1,0,0,133333.333333333
"118",34,2168,3e+06,434100000,3,0,1,1,0,0,0,1,0,0,2833333.33333333
"119",35,872,2833333.33333333,411100000,0,0,1,1,0,0,0,1,0,0,1750000
"120",37,303,1750000,510700000,0,0,1,1,0,0,0,1,0,0,1e+06
"121",34,360,1e+05,336250000,0,0,0,0,0,0,1,1,0,0,1e+05
"122",35,90,1e+05,226050000,0,0,0,0,0,0,1,1,0,0,1e+05
"123",30,3117,1.3e+07,258350000,4,0,1,0,0,1,0,1,0,0,1.5e+07
"124",31,3023,1.5e+07,216150000,3,1,1,0,0,1,0,1,0,0,9833333.33333333
"125",33,1328,833333.333333333,28900000,2,0,0,1,0,0,0,1,0,0,4e+05
"126",33,0,325000,313400000,0,0,0,0,0,0,1,1,0,0,250000
"127",34,0,250000,208980000,0,0,0,0,0,0,1,1,0,0,250000
"128",27,3535,1.2e+07,248950000,2,2,1,1,0,0,0,0,0,1,10666666.6666667
"129",28,931,10666666.6666667,208680000,1,0,1,1,0,0,0,0,0,1,7333333.33333333
"130",30,3712,7333333.33333333,292600000,2,2,1,1,0,0,0,0,0,1,4400000
"131",36,1082,250000,94950000,3,0,0,0,0,1,0,1,0,0,250000
"132",37,765,250000,71780000,0,3,0,0,0,1,0,1,0,0,250000
"133",27,1970,3375000,9.8e+07,0,3,1,1,0,0,0,1,0,0,3e+06
"134",28,2041,3e+06,91380000,0,1,1,1,0,0,0,1,0,0,2750000
"135",30,1422,2750000,109650000,0,1,1,1,0,0,0,1,0,0,2e+06
"136",35,3330,1e+06,79700000,0,0,1,0,0,0,1,1,0,0,5e+05
"137",36,2340,5e+05,89480000,0,0,1,0,0,0,1,1,0,0,333333.333333333
"138",38,360,333333.333333333,111650000,0,0,1,0,0,0,1,1,0,0,250000
"139",28,4919,2.2e+07,503150000,6,5,1,1,0,0,0,1,0,0,18666666.6666667
