competition,year,link,name,abbrev,num_players,avg_age,num_foreigners,total_market_value
Segunda Division,2018,https://www.transfermarkt.es/sporting-de-gijon/kader/verein/2448/saison_id/2018,Sporting de Gijón,36,,10.0,,29500000.0
Segunda Division,2018,https://www.transfermarkt.es/cadiz-cf/kader/verein/2687/saison_id/2018,Cádiz CF,39,,12.0,,29000000.0
Segunda Division,2018,https://www.transfermarkt.es/ca-osasuna/kader/verein/331/saison_id/2018,CA Osasuna,32,,0.0,,28750000.0
Segunda Division,2018,https://www.transfermarkt.es/cd-tenerife/kader/verein/648/saison_id/2018,CD Tenerife,33,,10.0,,25850000.0
Segunda Division,2018,https://www.transfermarkt.es/albacete-balompie/kader/verein/1532/saison_id/2018,Albacete Balompié,38,,17.0,,24900000.0
Segunda Division,2018,https://www.transfermarkt.es/ud-almeria/kader/verein/3302/saison_id/2018,UD Almería,37,,10.0,,22350000.0
Segunda Division,2018,https://www.transfermarkt.es/rcd-mallorca/kader/verein/237/saison_id/2018,RCD Mallorca,38,,14.0,,21850000.0
Segunda Division,2018,https://www.transfermarkt.es/real-zaragoza/kader/verein/142/saison_id/2018,Real Zaragoza,35,,10.0,,21750000.0
Segunda Division,2018,https://www.transfermarkt.es/extremadura-ud/kader/verein/29095/saison_id/2018,Extremadura UD,48,,12.0,,19150000.0
Segunda Division,2018,https://www.transfermarkt.es/cd-lugo/kader/verein/11000/saison_id/2018,CD Lugo,41,,10.0,,18800000.0
Segunda Division,2018,https://www.transfermarkt.es/cordoba-cf/kader/verein/993/saison_id/2018,Córdoba CF,41,,8.0,,17000000.0
Segunda Division,2018,https://www.transfermarkt.es/cf-rayo-majadahonda/kader/verein/13702/saison_id/2018,CF Rayo Majadahonda,33,,5.0,,16700000.0
Segunda Division,2018,https://www.transfermarkt.es/gimnastic-de-tarragona/kader/verein/5648/saison_id/2018,Gimnàstic de Tarragona,49,,18.0,,16600000.000000002
Segunda Division,2018,https://www.transfermarkt.es/real-oviedo/kader/verein/2497/saison_id/2018,Real Oviedo,31,,7.0,,16350000.000000002
